word,trans
мгъы,колючка
мза,лампа
мзы,луна
мзыч,древесная_смола
мхьа,бесплодный
мца,огонь
мцы,ложь
мчхъа,сильный
мчы,сила
мшIтшыт,деревяшка
мшы,день
мъа,пояс
па,сын
пещ,комната
псбыб,волдырь
псхъа,труп
псы,душа
птштшы,осколок
пуд,дешевый
пха,тепло
пхдзы,пот
пхты,чесотка
пхыз,сон
пша,ветер
пшдза,красивый
пшка,мягкий
пшыхь,ветер
пщба,четыре
пыджь,пряжка
пыц,зуб
са,я
сквшы,год
сквшызкь,тысяча_лет
сса,мелкий
стажь,впусти
сы,снег
сыгь,гребень_у_птиц
сыс,ягненок
сыш,белый
ткIьи,строгий
тдзы,дом
топ,мяч
тшбыг,коса
тшжьы,конина
тшпсАх,меняйся
тшпщА,отдыхай
тшпы,край
тшпыц,зуб_(лошади)
тшрыдз,исчезни
тштщЫ,окунайся
тшхьа,корм
тшы,лошадь
тшыжвцI,спешься
тшыт,кусок
тшыхвх,поранься
тшыхш,кумыс
тшышвшв,накрасься
тшыщх,убей себя
тшЫщщ,погладь себя
тып,шалаш
тых,брысь
хвба,пять
хвит,свободный
хзы,сыворотка
хпа,три
хшы,молоко
хщы,ястреб
хъвда,шея
хъвдаш,белошейка
хъвдзы,пшено
хъвдзыц,зернышко
хъпшша,просохший
хъчквпса,накидка_на_подушку
хъчы,подушка
хъыхь,головная боль
хъыш,светлый
хы,пуля
хьапщ,золото
хьзы,имя
хьта,мороз
хьыш,золотистый
цIба,недостаток
цIгъа,шнур
цIда,шнур
цIхы,ночь
цIщы,подошва
ца,закром
цба,шесть
цкьа,чистый
цха,мёд
чакь,сомнение
час,провизия
чвгъьы,бык
чвгьа,злой
чвкьащ,"несчастный, бедный; облезлый"
чхъа,колос
чыкь,низкорослый
шIтбжьы,зов
швхы,морковь
швъа,документ
шта,отчизна
шша,жир
щта,да
щтып,след
щха,пчела
щхъа,место для выгона скота
ща,кровь
щъа,подпора
